Index,Directors,Genres,Number of movies,Number of awards,Number of Facebook Likes
746,Kevin Tancharoen,"Adventure, Comedy, Drama, Romance",30,2,64
747,Khalid Mohammed,"Action, Comedy, Drama, Romance",6,0,0
748,Kimberly Peirce,"Action, Adventure, Crime, Drama, Fiction, Horror, Science, Thriller",18,28,108
749,King Vidor,"Adventure, Animation, Family",78,5,54
750,Kinka Usher,"Crime, Horror, Thriller",5,2,18
751,Kirk De Micco,"Comedy, Crime, Drama, Romance",3,1,16
752,Kirk Jones,"Drama, Horror, Thriller",5,8,52
753,Kirk Wong,Drama,14,4,6
754,Kirsten Sheridan,"Drama, Fantasy, Romance",8,1,59
755,Kurt Wimmer,"Action, Adventure, Fiction, Science, Thriller",3,0,110
756,Kyle Balda,"Drama, Romance, Thriller",12,1,22
757,Lance Mungia,"Drama, Music, Romance",7,3,4
758,Larry Charles,"Action, Comedy, Fiction, Science",16,2,119
759,Larry Clark,"Action, Comedy, Crime",15,15,184
760,Lars von Trier,"Adventure, Comedy, Drama, Family",45,1,3000
761,Lasse Hallstr\u00f6m,"Action, Comedy, Drama, History, Horror, Romance, Thriller",74,3,0
762,Lauren Lazin,"Comedy, Drama, Family, Romance",23,1,2
763,Laurie Collyer,"Comedy, Crime, Drama, Romance",8,18,38
764,Lawrence Guterman,"Action, Comedy, Fiction, Horror, Science",9,2,6
765,Lawrence Kasdan,"Action, Fantasy, Fiction, Horror, Science, Thriller",12,4,759
766,Lee Daniels,"Crime, Drama, Thriller",9,2,304
767,Lee Tamahori,"Drama, History",13,14,93
768,Lee Toland Krieger,"Action, Adventure, Thriller",16,3,43
769,Lee Unkrich,"Action, Adventure, Drama, Fantasy",8,2,125
770,Leigh Whannell,"Action, Comedy, Crime, Drama, Thriller",4,14,482
771,Len Wiseman,"Animation, Comedy, Family",17,1,235
772,Lenny Abrahamson,"Crime, Drama",11,1,412
773,Leonard Nimoy,"Action, Crime, Drama, Thriller",12,4,12000
774,Les Mayfield,"Action, Fiction, Mystery, Science, Thriller",10,2,10
775,Leslye Headland,"Action, Adventure, Comedy, Drama, Family, Fiction, Romance, Science",12,2,21
776,Levan Gabriadze,"Action, Crime, Drama, Fantasy, Horror, Thriller",5,7,6
777,Lewis Gilbert,"Drama, Thriller",42,1,43
778,Lexi Alexander,"Documentary, Drama, Mystery, Thriller",14,1,189
779,Lijun Sun,"Action, Adventure, Horror, Thriller",4,4,0
780,Lilly Wachowski,"Drama, Mystery, Romance, Thriller",11,34,0
781,Lisa Cholodenko,"Adventure, Fiction, Science",17,1,450
782,Liv Ullmann,"Action, Comedy, Fiction, Horror, Science, Thriller",7,2,440
783,Liz Friedlander,"Drama, Family, Music, Romance",64,0,3
784,Lloyd Bacon,"Action, Adventure, Animation, Comedy, Family, Fantasy",130,3,24
785,Lone Scherfig,"Horror, Mystery",18,56,92
786,Lorene Scafaria,"Drama, Music",6,19,63
787,Louis Leterrier,"Action, Crime, Drama, Mystery, Thriller",13,1,255
788,Lowell Sherman,Documentary,15,0,16
789,Lu Chuan,"Action, Adventure, Animation, Comedy, Family, Fantasy, Mystery, Thriller",11,47,0
790,Luc Besson,"Action, Adventure, Comedy, Crime, Drama, Romance, Thriller",31,1,0
791,Luc Jacquet,"Action, Adventure, History, War",8,1,10
792,Lucky McKee,"Drama, Family",13,19,75
793,Luis Llosa,"Action, Comedy, Crime, Thriller",11,1,49
794,Luis Mandoki,"Drama, Family",24,10,43
795,Luis Valdez,"Adventure, Comedy, Romance",9,2,7
796,Luke Greenfield,Comedy,16,6,42
797,Lynn Shelton,"Adventure, Comedy, Drama, Family, Fantasy, Fiction, Romance, Science",29,26,100
798,Lynne Ramsay,"Drama, Romance",9,1,159
799,M. Night Shyamalan,"Comedy, Crime, Music, Mystery, Thriller",16,2,0
800,M\u00e5ns M\u00e5rlind,"Fiction, Horror, Science",0,0,0
801,Mabrouk El Mechri,"Fiction, Horror, Science, Thriller",9,1,19
802,Maggie Carey,"Crime, Horror, Mystery",26,2,38
803,Majid Majidi,"Comedy, Drama, Family, Fantasy, Romance",19,54,373
804,Malcolm D. Lee,"Drama, Horror, Thriller",17,17,92
805,Marc Forby,"Crime, Drama, Mystery, Thriller",2,2,3
806,Marc Forster,"Animation, Family, Fantasy",17,1,395
807,Marc Lawrence,"Crime, Drama, History, Mystery",7,1,30
808,Marc Webb,"Fiction, Romance, Science, Thriller",61,14,464
809,Marco Schnabel,"Comedy, Drama, Romance",1,1,12
810,Marcus Raboy,"Drama, Mystery",86,2,7
811,Marielle Heller,"Comedy, Drama",5,33,22
812,Mark A.Z. Dipp\u00e9,"Comedy, Drama, Romance",16,2,0
813,Mark Christopher,"Action, Crime, Drama, Mystery, Thriller",8,9,15
814,Mark Dindal,"Action, Adventure, Drama, Fiction, Science, Thriller",4,3,10
815,Mark Helfrich,"Crime, Drama, Horror, Thriller",3,3,7
816,Mark Herman,"Drama, History, Romance, War, Western",8,2,39
817,Mark Illsley,"Adventure, Animation, Comedy, Family, Fantasy",2,4,3
818,Mark L. Lester,"Drama, History, Romance",34,3,73
819,Mark Mylod,"Comedy, Family, Fantasy",32,2,20
820,Mark Neveldine,"Action, Comedy, Fantasy, Fiction, Horror, Science, Thriller",5,0,83
821,Mark Osborne,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Horror, Mystery, Romance, Thriller",17,2,54
822,Mark Pellington,"Comedy, Family, Fantasy",71,1,89
823,Mark Romanek,"Action, Adventure, Drama, Fiction, Science, Thriller, War",77,33,132
824,Mark Rosman,"Animation, Drama, War",23,0,15
825,Mark Rydell,"Comedy, Drama, Family, Fantasy, Romance",26,1,43
826,Mark Sandrich,"Drama, Romance",77,2,10
827,Mark Steven Johnson,"Drama, History",7,1,160
828,Mark Tarlov,"Action, Crime, Mystery, Thriller",2,0,3
829,Mark Tonderai,"Crime, Horror, Thriller",25,1,13
830,Mark Waters,"Drama, Thriller",21,7,70
831,Martin Brest,Drama,9,2,102
832,Martin Campbell,"Adventure, Fiction, Mystery, Science, Western",33,5,258
833,Martin Koolhoven,"Crime, Drama, Thriller",15,45,12
834,Martin Lawrence,"Action, Adventure, Crime, Drama, Western",1,16,0
835,Martin McDonagh,"Comedy, Family, Romance",4,1,454
836,Martin Ritt,"Action, Adventure, Drama, Thriller",30,1,58
837,Martin Scorsese,"Action, Drama, History, Western",65,1,17000
838,Mary Harron,"Fiction, Mystery, Science, Thriller",27,18,126
839,Mary Lambert,"Comedy, Drama, History, Romance",74,7,52
840,Mathieu Kassovitz,Drama,12,32,326
841,Matt Bettinelli-Olpin,Drama,16,4,14
842,Matt Reeves,"Adventure, Animation, Comedy, Family",13,11,198
843,Matt Williams,"Action, Adventure, Animation, Comedy, Family",3,6,18
844,Matthew O'Callaghan,"Animation, Family",13,6,5
845,Matthew Robbins,"Action, Comedy, Thriller",8,11,25
846,Matthew Vaughn,Drama,7,1,905
847,Max Joseph,Horror,14,2,31
848,McG,"Drama, Romance",43,3,368
849,Meiert Avis,"Comedy, Crime, Drama",94,4,0
850,Mel Brooks,"Adventure, Comedy, Drama, Family, History, Romance",11,1,0
851,Mel Gibson,"Action, Adventure, Comedy, Drama, Family, Fiction, Science, Thriller",9,2,0
852,Mel Stuart,"Drama, Horror, Thriller",54,1,21
853,Melvin Van Peebles,"Adventure, Comedy, History, Romance",17,11,101
854,Mennan Yapo,Documentary,3,3,9
855,Mervyn LeRoy,"Comedy, Drama, Fiction, Romance, Science",79,1,54
856,Mic Rodgers,"Action, Crime, Drama",1,7,7
857,Michael Anderson,"Adventure, Animation, Comedy, Family, Fantasy, Fiction, Music, Romance, Science",43,1,23
858,Michael Apted,"Comedy, Drama, Family, Romance",78,42,150
859,Michael Bay,"Comedy, Drama, Horror",58,23,0
860,Michael Caton-Jones,"Documentary, Family, Music",19,8,105
861,Michael Cimino,"Action, Crime, Drama, Thriller",8,2,517
862,Michael Corrente,"Action, Fiction, Science, War",7,3,30
863,Michael Cristofer,Drama,5,2,49
864,Michael Cuesta,"Crime, Drama, Thriller",19,1,52
865,Michael Curtiz,"Action, Fiction, Horror, Science, Thriller",178,1,345
866,Michael Dougherty,"Action, Adventure, Crime, Drama, Horror, Thriller",8,13,66
867,Michael Dowse,"Adventure, Comedy, Drama, Family, Fiction, Music, Romance, Science",15,18,31
868,Michael Gornick,"Action, Adventure, Comedy, Romance, Thriller",6,0,10
869,Michael Haigney,"Crime, Drama, Thriller",6,0,0
870,Michael Haneke,"Comedy, Crime, Drama",24,2,0
871,Michael Hoffman,"Action, Fiction, Horror, Mystery, Science, Thriller",16,10,97
872,Michael J. Bassett,"Comedy, Fantasy, Horror",16,8,83
873,Michael Lehmann,"Adventure, Animation, Comedy, Family",50,1,36
874,Michael Lembeck,"Adventure, Animation, Comedy, Crime, Family, Fantasy, Mystery",66,1,54
875,Michael Mann,Comedy,23,4,0
876,Michael Mayer,"Comedy, Family",10,1,15
877,Michael McCullers,"Crime, Horror, Thriller",3,0,5
878,Michael Moore,"Adventure, Animation, Family",22,1,909
879,Michael O. Sajbel,"Action, Crime, Thriller",9,0,6
880,Michael Patrick Jann,"Action, Comedy, Romance",49,4,31
881,Michael Patrick King,Comedy,9,2,127
882,Michael Polish,"Adventure, Animation, Comedy, Family",17,19,35
883,Michael Pressman,"Action, Fiction, Horror, Mystery, Science, Thriller",64,2,34
884,Michael Ritchie,"Adventure, Comedy, Family, Fantasy, Romance",38,1,23
885,Michael Rymer,"Comedy, Drama, Music",23,1,48
886,Michael Schultz,"Horror, Mystery, Thriller",112,7,78
887,Michael Spierig,"Action, Adventure, Comedy, Drama, Western",6,23,35
888,Michael Sucsy,"Drama, Family, Music, Romance",4,1,23
889,Michael Tiddes,"Action, Adventure, Comedy, Fantasy, Fiction, Science",10,0,89
890,Michael Wadleigh,"Action, Crime, Fantasy, Horror, Mystery, Thriller",5,4,14
891,Michael Winterbottom,"Comedy, Romance",44,1,187
892,Michel Gondry,"Crime, Drama, Mystery, Thriller",126,1,1000
893,Michel Hazanavicius,"Action, Adventure, Comedy, Drama, Romance",15,1,405
894,Mick Jackson,"Horror, Thriller",36,1,81
895,Miguel Arteta,"Comedy, Crime, Drama",38,21,44
896,Miguel Sapochnik,"Crime, Drama, Mystery, Thriller",23,2,238
897,Mikael H\u00e5fstr\u00f6m,"Action, Adventure, Drama, Fantasy, Horror, Thriller",0,0,0
898,Mikael Salomon,"Crime, Drama, Thriller",48,2,13
899,Mike Bigelow,Western,1,0,2
900,Mike Binder,"Drama, History",17,3,57
901,Mike Cahill,"Drama, Horror, Romance, Thriller",8,14,135
902,Mike Disa,"Action, Drama, Romance",8,0,6
903,Mike Figgis,"Action, Comedy, Fantasy, Horror",43,2,81
904,Mike Flanagan,"Adventure, Drama, History, Mystery, Thriller, War",16,53,59
905,Mike Gabriel,"Fiction, Science, Thriller",3,1,12
906,Mike Hodges,"Action, Crime, Drama, Thriller",26,9,24
907,Mike Judge,"Adventure, Animation, Comedy, Family, Fantasy, Fiction, Science",16,1,406
908,Mike Leigh,"Drama, History, Thriller, War",23,7,608
909,Mike Marvin,"Action, Horror, Mystery, Thriller",11,0,28
910,Mike McCoy,"Comedy, Crime, Drama, Mystery, Romance, Thriller",3,2,16
911,Mike Mills,"Action, Adventure, Crime, Drama, Thriller",15,1,101
912,Mike Mitchell,"Action, Adventure, Comedy, Drama",2,0,31
913,Mike Newell,"Action, Crime, Thriller",79,1,179
914,Mike Nichols,"Crime, Drama, Mystery, Thriller",22,1,0
915,Mike Tollin,"Action, Crime, Thriller",18,1,0
916,Milo\u0161 Forman,"Action, Comedy, Documentary",21,2,0
917,Mimi Leder,"Action, Adventure, Crime, Drama, Fiction, History, Horror, Science, Thriller",43,2,75
918,Mira Nair,"Drama, Mystery, Thriller",24,2,300
919,Mitch Davis,"Adventure, Animation, Comedy, Family, Fantasy",5,1,7
920,Mort Nathan,"Action, Comedy, Crime, Drama, Family, Fantasy, Fiction, Romance, Science",4,2,2
921,Morten Tyldum,Drama,19,1,77
922,Nacho Vigalondo,"Action, Adventure, Comedy, Drama, Family, Fantasy, Romance, Thriller",26,1,76
923,Nancy Meyers,"Action, Drama, Music, Romance",7,1,278
924,Nanette Burstein,Drama,13,1,8
925,Nat Faxon,"Action, Drama, Music, Romance, Thriller",5,1,214
926,Nate Parker,"Drama, Romance",7,26,664
927,Neil Burger,"Action, Crime, Drama, Fiction, Science, Thriller",11,9,168
928,Neil Jordan,"Action, Adventure, Drama, Family, Fiction, Horror, Science, Thriller",23,1,277
929,Neil LaBute,Comedy,25,32,119
930,Neil Marshall,"Drama, Family, Music",18,1,197
931,Neill Blomkamp,"Action, Comedy, Fiction, Science",24,1,662
932,Newt Arnold,"Action, Adventure, Thriller, War",3,1,15
933,Nicholas Hytner,"Action, Adventure, Comedy, Horror",7,1,13
934,Nicholas Jarecki,"Horror, Thriller",4,3,27
935,Nicholas Meyer,"Crime, Drama, Thriller",9,1,120
936,Nicholas Ray,Horror,31,1,117
937,Nicholas Stoller,"Horror, Thriller",11,10,89
938,Nick Cassavetes,"Horror, Mystery, Thriller",14,13,415
939,Nick Gomez,"Drama, History, War",0,0,22
940,Nick Hamm,"Action, Adventure, Animation, Comedy, Family, Fantasy, Music, Thriller",20,1,6
941,Nick Hurran,"Comedy, Family, Fiction, Science",30,1,34
942,Nick Love,"Action, Drama, Fiction, Science, Thriller, War",9,3,63
943,Nick Murphy ,"Action, Adventure, Comedy",21,12,0
944,Nick Park,"Drama, Music, Romance",8,4,0
945,Nicolas Winding Refn,Drama,15,86,0
946,Nicole Holofcener,"Action, Adventure, Fantasy, Fiction, Horror, Science, Thriller",23,1,132
947,Nigel Cole,"Horror, Thriller",16,4,13
948,Niki Caro,"Action, Adventure, Crime, Fiction, Science, Thriller",14,35,51
949,Nima Nourizadeh,"Adventure, Comedy, Family, Fantasy",10,0,166
950,Nimr\u00f3d Antal,"Comedy, Drama, Family, Romance",11,15,0
951,Noah Baumbach,"Action, Crime, Drama, Thriller",14,3,387
952,Noam Murro,"Action, Fiction, Science",5,11,263
953,Noel Marshall,"Action, Comedy, Crime, Drama, Fantasy, Fiction, Romance, Science, Thriller",1,0,4
954,Nora Ephron,"Comedy, Music",8,3,0
955,Norman Jewison,"Documentary, Drama, Horror, Music, Mystery",44,7,278
956,Norton Virgien,"Comedy, Horror, Romance",10,2,0
957,Olatunde Osunsanmi,"Comedy, Drama, Romance",20,2,58
958,Ole Bornedal,"Crime, Drama",19,34,30
959,Oliver Hirschbiegel,"Crime, Drama, Thriller",24,38,101
960,Oliver Parker,"Action, Adventure, Animation, Comedy, Family",13,1,32
961,Oliver Stone,Comedy,31,3,0
962,Olivier Assayas,"Action, Adventure, Drama, Mystery, Romance",30,1,107
963,Olivier Megaton,"Drama, Thriller",24,4,118
964,Oren Moverman,"Adventure, Animation, Comedy, Family",4,1,38
965,P.J. Hogan,"Comedy, Crime, Drama, Romance",12,1,29
966,Pan Nalin,"Comedy, Crime, Fiction, Science, Thriller",17,14,95
967,Paolo Sorrentino,"Drama, Romance",29,1,667
968,Park Chan-wook,"Action, Comedy, Drama",19,1,0
969,Pat O'Connor,"Action, Adventure, Drama, History, Thriller, War",17,5,7
970,Patricia Riggen,"Action, Adventure, Crime, Drama, Mystery, Thriller, War",12,16,36
971,Patrick Hughes,"Action, Adventure, Comedy, Fiction, Romance, Science",7,5,385
972,Patrick Lussier,Documentary,11,5,71
973,Patrick Read Johnson,"Comedy, Drama, Mystery, Romance",7,1,32
974,Patrick Tatopoulos,"Action, Animation, Comedy, Family, Fiction, Science",5,5,148
975,Patty Jenkins,"Action, Animation, Comedy, Family",13,1,260
976,Paul Abascal,"Drama, Romance",23,0,2
977,Paul Bartel,"Action, Adventure, Animation, Comedy, Crime, Family, Fantasy",14,0,43
978,Paul Feig,"Action, Comedy, Crime, Drama, Music, Romance",25,4,176
979,Paul Greengrass,"Comedy, Drama, Romance",21,1,521
980,Paul Gross,"Comedy, Crime, Drama, Fantasy, Romance",4,37,329
981,Paul Haggis,"Comedy, Crime",16,2,549
982,Paul King,"Action, Adventure, Crime, Drama, Fiction, Mystery, Science, Thriller",15,3,17
983,Paul Mazursky,"Action, Adventure, Comedy, Drama, Family, Fantasy, Fiction, Romance, Science, Thriller",19,5,150
984,Paul McGuigan,"Adventure, Comedy, Fiction, Science",25,1,118
985,Paul Michael Glaser,"Comedy, Family",21,1,343
986,Paul Schrader,"Comedy, Drama",26,1,261
987,Paul Thomas Anderson,"Action, Adventure, Animation, Comedy, Drama, Family, Romance",44,8,0
988,Paul Tibbitt,"Action, Adventure, Crime, Drama, Fantasy, Horror, Mystery, Thriller",2,8,5
989,Paul Verhoeven,"Action, Drama, Romance",29,2,719
990,Paul W.S. Anderson,"Comedy, Drama, Romance",17,5,545
991,Paul Weiland,"Drama, Fiction, History, Science, Thriller, War",17,1,10
992,Paul Weitz,"Comedy, Drama, Music",14,1,80
993,Pawe\u0142 Pawlikowski,"Comedy, Drama, Family, History, War, Western",13,1,0
994,Pedro Almod\u00f3var,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Mystery",36,1,0
995,Penelope Spheeris,Drama,38,13,122
996,Penny Marshall,"Action, Adventure, Crime, Drama, Mystery, Thriller",16,3,545
997,Pete Docter,"Adventure, Animation, Comedy, Family",10,2,0
998,Pete Travis,"Action, Adventure, Comedy, Drama, Romance",18,10,38
999,Peter Atencio,"Crime, Drama, History, Thriller",29,1,10
1000,Peter Berg,"Comedy, Drama, Family, Fantasy, Romance",29,2,532
1001,Peter Billingsley,"Comedy, Drama, History, Romance, Thriller",5,1,0
1002,Peter Cattaneo,"Crime, Drama, Horror, War",16,2,11
1003,Peter Chelsom,"Crime, Drama, Music, Romance, Thriller",12,2,23
1004,Peter Faiman,"Horror, Thriller",11,0,4
1005,Peter Hewitt,"Action, Adventure, Comedy, Drama, Fantasy, Mystery, Romance, Thriller",17,1,12
1006,Peter Howitt,"Comedy, Drama, Music, Romance",12,9,29
1007,Peter Hyams,"Action, Fiction, Science, Thriller",24,8,0
1008,Peter Jackson,"Comedy, Drama, Romance",23,3,0
1009,Peter Landesman,"Comedy, Drama, Romance",3,8,15
1010,Peter Lord,"Adventure, Animation, Family",16,3,91
1011,Peter MacDonald,"Adventure, Thriller",13,13,10
1012,Peter Medak,"Action, Comedy, Thriller",68,7,34
1013,Peter R. Hunt,"Crime, Drama, Romance, Thriller",15,1,13
1014,Peter Ramsey,"Action, Comedy, Fiction, Science",3,1,52
1015,Peter Segal,"Adventure, Comedy, Crime, Drama, Fiction, Romance, Science",27,5,88
1016,Peter Sohn,"Action, Adventure, Drama, Family, Romance",2,6,113
1017,Peter Sollett,"Action, Crime, Drama, Fiction, Horror, Mystery, Science, Thriller",14,19,6
1018,Peter Webber,Documentary,18,16,73
1019,Peter Weir,"Action, Drama, History",30,6,608
1020,Peter Yates,"Action, Crime, Drama, Thriller",28,4,170
1021,Peyton Reed,"Crime, Drama, Fiction, Mystery, Romance, Science, Thriller",26,7,235
1022,Phil Alden Robinson,"Fiction, Horror, Mystery, Science",9,1,31
1023,Phil Joanou,"Comedy, Crime, Fantasy",29,0,21
1024,Phil Lord,Comedy,9,1,97
1025,Phil Traill,"Crime, Drama, Thriller",45,6,3
1026,Philip G. Atwell,"Drama, Romance",26,4,5
1027,Philip Kaufman,"Adventure, Drama, History, Thriller, War",13,1,133
1028,Philip Saville,"Action, Adventure, Fiction, Science, Thriller",59,3,10
1029,Phillip Noyce,Drama,60,34,176
1030,Phyllida Lloyd,"Comedy, Drama, Fiction, Romance, Science",6,5,58
1031,Pierre Coffin,"Crime, Drama, Horror, Mystery, Thriller",8,1,275
1032,Pierre Morel,"Comedy, Music",12,0,180
1033,Pitof,"Action, Adventure, Fiction, Mystery, Science, Thriller",6,10,26
1034,Prachya Pinkaew,"Action, Adventure, Comedy",13,4,64
1035,Preston A. Whitmore II,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Fiction, Mystery, Romance, Science, Thriller",8,1,17
1036,Quentin Tarantino,"Action, Fantasy, Fiction, Horror, Science, Thriller",21,2,16000
1037,R.J. Cutler,Drama,17,1,15
1038,Rachel Talalay,"Animation, Comedy, Family",62,14,54
1039,Raja Gosnell,"Drama, History",13,0,67
1040,Raja Menon,"Crime, Drama, Thriller",4,1,6
1041,Rakeysh Omprakash Mehra,"Action, Comedy, Crime, Drama, Romance, Thriller",10,1,85
1042,Ralph Fiennes,"Comedy, Drama, Romance",3,2,0
1043,Ralph Nelson,"Action, Crime, Drama, Fantasy, Horror, Thriller",49,1,17
1044,Ralph Zondag,"Action, Adventure, Drama, Fiction, Science, Thriller",2,1,0
1045,Rand Ravich,"Adventure, Comedy, Drama, Fantasy, Romance",2,1,7
1046,Randal Kleiser,"Comedy, Drama, Horror, Romance",33,1,116
1047,Randall Miller,"Drama, Thriller",21,5,19
1048,Randall Wallace,"Action, Drama, History, War",5,1,130
1049,Rawson Marshall Thurber,"Action, Adventure, Drama, Fantasy, Fiction, History, Science, War",14,2,43
1050,Raymond De Felitta,"Comedy, Crime, Drama, History, Western",11,1,20
1051,Rebecca Miller,"Action, Comedy, Crime, Drama, History, Mystery, Romance, Thriller, War",7,21,58
1052,Reginald Hudlin,"Drama, Romance",44,1,71
1053,Renny Harlin,"Action, Adventure, Crime, Drama, Family, Thriller",32,15,212
1054,Rian Johnson,"Drama, Fiction, Horror, Romance, Science, Thriller",15,1,0
1055,Ric Roman Waugh,"Comedy, Drama, Romance",8,1,29
1056,Rich Moore,"Drama, Romance",12,1,66
1057,Richard Attenborough,"Drama, History",12,2,0
1058,Richard Benjamin,"Action, Adventure, Thriller",22,1,121
1059,Richard Brooks,"Action, Adventure, Crime, Drama, Romance, Thriller",2,2,174
1060,Richard Curtis,"Comedy, Music, Romance",5,1,628
1061,Richard Donner,"Drama, Fiction, Science",82,17,503
1062,Richard Dutcher,Comedy,10,4,13
1063,Richard Eyre,"Music, Romance",23,1,14
1064,Richard Fleischer,"Action, Crime, Drama, Horror, Music, Mystery, Thriller",61,1,130
1065,Richard Glatzer,"Fiction, Science, Thriller",5,13,25
1066,Richard J. Lewis,"Drama, Romance",33,4,12
1067,Richard Kelly,Documentary,5,17,219
1068,Richard LaGravenese,Drama,7,1,98
1069,Richard Linklater,Comedy,30,5,0
1070,Richard Loncraine,"Action, Adventure, Drama, History, War",25,1,12
1071,Richard Marquand,"Drama, Fiction, Science, Thriller",29,5,37
1072,Richard Shepard,"Drama, Romance",32,1,47
1073,Richard Williams,Documentary,15,2,18
1074,Rick Bieber,"Drama, Romance",5,8,11
1075,Rick Famuyiwa,"Drama, Romance",13,17,44
1076,Rick Rosenthal,"Drama, Music",64,2,28
1077,Ricky Gervais,"Action, Adventure, Fantasy, Fiction, Science, Thriller",13,1,0
1078,Ridley Scott,"Action, Comedy, Crime, Drama, History, Thriller, Western",53,4,0
1079,Ringo Lam,"Adventure, Drama, Family, Fantasy, Romance, War",26,11,17
1080,Risa Bramon Garcia,"Action, Adventure, Drama, Family, Fantasy, Music, Thriller",5,15,112
1081,Ritesh Batra,"Comedy, Crime, Drama",9,1,25
1082,Rob Bowman,Drama,45,4,38
1083,Rob Cohen,"Drama, History",26,4,357
1084,Rob Hedden,"Action, Adventure, Crime, Drama, Fiction, Science, Thriller",14,1,6
1085,Rob Letterman,"Crime, Drama",7,3,11
1086,Rob Marshall,"Action, Fiction, Horror, Science, Thriller",11,1,252
1087,Rob McKittrick,"Crime, Drama",2,0,6
1088,Rob Minkoff,"Horror, Thriller",15,7,50
1089,Rob Pritts,Drama,3,0,5
1090,Rob Reiner,"Action, Adventure, Comedy, Drama, Family, Fantasy, Romance",26,1,0
1091,Rob Schmidt,"Action, Adventure, Drama, Fiction, Mystery, Science, Thriller",16,4,36
1092,Rob Zombie,"Comedy, Drama",21,13,0
1093,Robert Altman,"Action, Adventure, Comedy, Drama, Family, Fiction, Horror, Mystery, Science, Thriller",90,7,500
1094,Robert B. Weide,"Comedy, Horror",12,1,53
